UpdatedDateTime,CreateDateTime,Rank,NameTag,Address,Balance,Symbol,Percentage,TxnCount
2021/06/07 20:34,2021/06/07 20:34,56,Kraken 4,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,186535.64081422,Ether,0.16053904%,1939519,
2021/08/25 00:11,2021/08/25 00:11,57,,0xb8808f9e9b88497ec522304055cd537a0913f6a0,185852.59372197,Ether,0.15852480%,18,
2021/08/25 00:11,2021/08/25 00:11,58,,0x36a85757645e8e8aec062a1dee289c7d615901ca,177328.30765968,Ether,0.15125393%,1,
2021/08/25 00:11,2021/08/25 00:11,59,,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,172038.06719675,Ether,0.14674157%,55,
2021/08/25 00:11,2021/08/25 00:11,60,Golem: MultiSig,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,170034.30989632,Ether,0.14503244%,457,
2021/08/25 00:11,2021/08/25 00:11,61,,0xd69b0089d9ca950640f5dc9931a41a5965f00303,170000.0481664,Ether,0.14500322%,64,
2021/08/25 00:11,2021/08/25 00:11,62,,0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,169031.99351958,Ether,0.14417751%,18,
2021/08/25 00:11,2021/08/25 00:11,63,,0xbddf00563c9abd25b576017f08c46982012f12be,166328.133298,Ether,0.14187122%,69,
2021/08/25 00:11,2021/08/25 00:11,64,,0xda079a280fc3e33eb11a78708b369d5ca2da54fe,164135.01929419,Ether,0.14000058%,38,
2021/08/25 00:11,2021/08/25 00:11,65,,0x72a53cdbbcc1b9efa39c834a540550e23463aacb,163904.12519342,Ether,0.13980364%,625,
2021/08/25 00:11,2021/08/25 00:11,66,,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,163300.3697462,Ether,0.13928866%,10,
2021/08/25 00:11,2021/08/25 00:11,67,,0xcdbf58a9a9b54a2c43800c50c7192946de858321,160000.09853,Ether,0.13647366%,9,
2021/08/25 00:11,2021/08/25 00:11,68,,0x3ba25081d3935fcc6788e6220abcace39d58d95d,157738.10587866,Ether,0.13454427%,42,
2021/06/07 21:27,2021/06/07 21:27,69,NoFound,0xad132dab2782aca6e0be99170b8c30499ef0915c,155458.66209094,ETH,,0,
2021/06/03 12:25,2021/06/03 12:25,70,NoFound,0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b,154563.062362248772912724,ETH,,0,
2021/08/25 00:11,2021/08/25 00:11,71,,0xfd898a0f677e97a9031654fc79a27cb5e31da34a,150000.1,Ether,0.12794407%,5,
2021/08/25 00:11,2021/08/25 00:11,72,,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,150000.001,Ether,0.12794398%,5,
2021/08/25 00:11,2021/08/25 00:11,73,,0x4b4a011c420b91260a272afd91e54accdafdfc1d,150000.001,Ether,0.12794398%,5,
2021/08/25 00:11,2021/08/25 00:11,74,,0x367989c660881e1ca693730f7126fe0ffc0963fb,150000.001,Ether,0.12794398%,5,
2021/08/25 00:12,2021/08/25 00:12,75,,0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,150000,Ether,0.12794398%,4,
2021/08/25 00:11,2021/08/25 00:11,76,,0xba18ded5e0d604a86428282964ae0bb249ceb9d0,150000,Ether,0.12794398%,4,
2021/08/25 00:12,2021/08/25 00:12,77,,0x0518f5bb058f6215a0ff5f4df54dae832d734e04,150000,Ether,0.12794398%,4,
2021/08/25 00:11,2021/08/25 00:11,78,,0xb20411c403687d1036e05c8a7310a0f218429503,150000,Ether,0.12794398%,4,
2021/08/25 00:12,2021/08/25 00:12,79,,0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,150000,Ether,0.12794398%,4,
